,Employee_No,Late_minutes,Early_minutes,isLate,isEarly,isHoliday,isOT,holiday_hours,OT_hours,Working_Time,count,project_code,isLate%,isEarly%,isHoliday%
0,347,6224.616666666667,1821.8166666666666,345,119,0,1,0.0,329.15222222222224,4061.2633333333333,466,1.0,0.740343347639485,0.2553648068669528,0.0
1,348,1884.3166666666666,22165.6,64,379,9,31,114.41194444444444,1828.1502777777778,5778.9925,483,1.0,0.13250517598343686,0.7846790890269151,0.018633540372670808
2,349,2379.75,600.8,59,5,0,0,0.0,63.18888888888889,570.2980555555556,64,1.0,0.921875,0.078125,0.0
3,351,1462.4666666666667,1472.1499999999999,28,110,0,0,0.0,64.71055555555556,1162.921388888889,139,1.0,0.2014388489208633,0.7913669064748201,0.0
4,352,4295.933333333333,5887.616666666667,122,392,23,38,230.11777777777777,1362.955,5850.649166666667,555,187.0,0.21981981981981982,0.7063063063063063,0.04144144144144144
5,354,297.0,11093.733333333334,36,456,28,57,313.135,2470.1330555555555,6963.477777777778,563,194.1,0.06394316163410302,0.8099467140319716,0.0497335701598579
6,355,34.83333333333333,21695.05,4,552,29,72,401.5283333333333,3871.1919444444443,8971.77611111111,631,199.1,0.006339144215530904,0.8748019017432647,0.04595879556259905
7,356,3961.4833333333336,2456.7333333333336,250,215,2,0,18.288333333333334,568.0136111111111,4340.125,469,1.0,0.5330490405117271,0.4584221748400853,0.0042643923240938165
8,359,181.11666666666667,9438.816666666668,7,258,6,1,58.15,126.58722222222222,2634.8375,267,179.1,0.026217228464419477,0.9662921348314607,0.02247191011235955
9,360,371.3333333333333,145.03333333333333,12,28,0,0,0.0,55.71694444444444,375.11277777777775,40,1.0,0.3,0.7,0.0
10,361,591.0833333333334,14700.933333333332,39,408,28,59,316.0941666666667,2103.6830555555557,6357.292222222222,532,195.0,0.07330827067669173,0.7669172932330827,0.05263157894736842
11,363,0.0,4704.033333333334,0,36,0,2,0.0,200.8322222222222,571.2327777777778,38,1.0,0.0,0.9473684210526315,0.0
12,373,285.8166666666667,56161.98333333333,5,402,27,63,358.3258333333333,3009.6027777777776,7225.508888888889,471,1.0,0.010615711252653927,0.8535031847133758,0.05732484076433121
13,376,1708.9833333333333,20768.1,23,505,23,62,249.78,2155.930277777778,6875.8525,595,202.0,0.03865546218487395,0.8487394957983193,0.03865546218487395
